section,group_type,folder,company,project,title,url,order,visible,note
sound_fx,random_pool,Ambience Design,,Ambience Design,[World of Warcraft Ambience] Khaz Algar : Hallowfall | Nature Soundscape | 6 Hours,https://www.youtube.com/watch?v=brJxIgf7x0w,31,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,Cozy Rainfall Through a Gloomy Window : Relaxing Ambience | 6 Hours,https://www.youtube.com/watch?v=PS4EEb13eqU,32,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Star Wars Ambience] Star Wars Outlaw : Planet Akiva | Jungle Forest | 6 Hours,https://www.youtube.com/watch?v=i_vD3j0T8Rg,33,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[World of Warcraft Ambience] Khaz Algar : The Ringing Deeps | Underground Furnace | 6 Hours,https://www.youtube.com/watch?v=8lgDE_V0QGA,34,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Star Wars Ambience] Star Wars Outlaw : Moon Toshara | Savanna | 6 Hours,https://www.youtube.com/watch?v=Wmyc-u-kIMA,35,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Music & Ambience] Wukong : Meditation | Chinese Flute Ambient | Nature | 6 Hours,https://www.youtube.com/watch?v=DAEeOkzptLQ,36,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[World of Warcraft Ambience] Khaz Algar : Isle of Dorn | Dornogal | 6 Hours,https://www.youtube.com/watch?v=wLAOwUq11UE,37,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Music & Ambience] Wukong : Meditation | Chinese Flute Ambient | Nature | 6 Hours,https://www.youtube.com/watch?v=U-8kOETlz1A,38,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Music & Ambience] Wukong : Oriental Mountain Soundscape | 6 Hours,https://www.youtube.com/watch?v=AwOanCoRtbY,39,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Ambient] Underwater | Horrify echo sound | Full Fathom | 6 Hours,https://www.youtube.com/watch?v=k8NM4C6xyHI,40,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,[Star Wars Ambience] Kashyyyk : Wookiee's Planet | Jungle Soundscape | 6 Hours,https://www.youtube.com/watch?v=Le5LxthGBqk,41,TRUE,randomly selects 5 on load
sound_fx,random_pool,Ambience Design,,Ambience Design,"[Star Wars Ambience] Kamino : Tipoca city | Ocean, Wave, Rain, Storm Soundscape | 6 Hours",https://www.youtube.com/watch?v=o0JOZJH1ekA,42,TRUE,randomly selects 5 on load
