section,group_type,company,project,title,url,order,visible
bgm,normal,Neople,던전앤파이터 모바일,침식의 시로코 (암담한 추억),https://www.youtube.com/watch?v=-fYPCd5l6mA,1,TRUE
bgm,normal,Neople,던전앤파이터 모바일,침식의 시로코 (잿빛 그리움),https://www.youtube.com/watch?v=DvpoOzkxdAA,2,TRUE
bgm,normal,Shift Up,승리의 여신: 니케,ABSOLUTE : Tactical,https://www.youtube.com/watch?v=WurNwvgtbpU,3,TRUE
bgm,normal,Shift Up,승리의 여신: 니케,COINS IN RUSH : Smooth Operation,https://www.youtube.com/watch?v=FvnF8hZ60O4,4,TRUE
bgm,shorts,아티브사운드 (ARTIVE SOUND),2025 동방 오케스트라 콘서트,Shorts 01,https://www.youtube.com/watch?v=KoM9Mh8qzmI,5,TRUE
bgm,shorts,아티브사운드 (ARTIVE SOUND),2025 동방 오케스트라 콘서트,Shorts 02,https://www.youtube.com/watch?v=8GPG0V5_WP4,6,TRUE
bgm,shorts,아티브사운드 (ARTIVE SOUND),2025 동방 오케스트라 콘서트,Shorts 03,https://www.youtube.com/watch?v=acFYNj0MIK0,7,TRUE
bgm,normal,엘리프 게임즈 (Elif Games),나의 별난 스트리머!,방송화면 BGM,https://www.youtube.com/watch?v=_K33WVLoZlM,8,TRUE
